epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,703.792,2.01971,1.17833,1.23298,0.5891,0.36665,0.39503,0.19113,2.0403,1.08927,1.28973,3.466e-05,3.466e-05,3.466e-05
101,710.991,2.02043,1.18182,1.22716,0.55267,0.37774,0.39531,0.19116,2.04227,1.09018,1.28962,3.4e-05,3.4e-05,3.4e-05
102,718.234,2.0231,1.18406,1.23447,0.50432,0.40866,0.39592,0.19198,2.03912,1.08829,1.28923,3.334e-05,3.334e-05,3.334e-05
103,725.233,2.02968,1.17645,1.24058,0.5399,0.38172,0.39594,0.19193,2.03939,1.08919,1.28937,3.268e-05,3.268e-05,3.268e-05
104,732.018,2.00046,1.17695,1.23988,0.52898,0.39011,0.39666,0.19154,2.03904,1.08856,1.2901,3.202e-05,3.202e-05,3.202e-05
105,738.977,2.01572,1.17523,1.23232,0.59477,0.36106,0.39743,0.19205,2.04116,1.089,1.29027,3.136e-05,3.136e-05,3.136e-05
106,745.885,2.02178,1.16969,1.23254,0.54232,0.38427,0.39533,0.18997,2.04575,1.08885,1.29011,3.07e-05,3.07e-05,3.07e-05
107,752.801,2.01349,1.18431,1.23607,0.54016,0.38636,0.39567,0.19071,2.04201,1.08592,1.28939,3.004e-05,3.004e-05,3.004e-05
108,759.696,2.03053,1.18469,1.23597,0.53696,0.38605,0.39743,0.19274,2.03759,1.08512,1.28914,2.938e-05,2.938e-05,2.938e-05
109,766.683,2.01226,1.17273,1.23923,0.5412,0.38442,0.39702,0.19207,2.0361,1.08478,1.28867,2.872e-05,2.872e-05,2.872e-05
110,773.571,2.03673,1.18018,1.23285,0.54498,0.3855,0.39593,0.19107,2.04254,1.08706,1.28926,2.806e-05,2.806e-05,2.806e-05
111,780.562,1.991,1.16547,1.20613,0.54028,0.38521,0.39709,0.19236,2.03757,1.08424,1.2882,2.74e-05,2.74e-05,2.74e-05
112,787.452,2.0037,1.16344,1.22736,0.51507,0.40805,0.397,0.19262,2.0359,1.08237,1.28861,2.674e-05,2.674e-05,2.674e-05
113,794.422,2.00092,1.16939,1.22311,0.52032,0.40927,0.39772,0.19258,2.03571,1.08361,1.28812,2.608e-05,2.608e-05,2.608e-05
114,801.427,2.00896,1.16213,1.23534,0.53212,0.40144,0.39741,0.19269,2.03515,1.08319,1.28767,2.542e-05,2.542e-05,2.542e-05
115,808.595,2.01553,1.1548,1.22513,0.54097,0.39042,0.39656,0.19264,2.03724,1.08227,1.28759,2.476e-05,2.476e-05,2.476e-05
116,815.503,2.01733,1.18268,1.24492,0.53952,0.3928,0.39715,0.19245,2.03887,1.08268,1.28881,2.41e-05,2.41e-05,2.41e-05
117,822.726,2.02516,1.17555,1.23988,0.53602,0.39504,0.39775,0.19271,2.03846,1.08318,1.28875,2.344e-05,2.344e-05,2.344e-05
118,829.76,2.01724,1.16817,1.23983,0.54218,0.39153,0.3966,0.19246,2.04092,1.08431,1.28891,2.278e-05,2.278e-05,2.278e-05
119,836.847,2.03095,1.17231,1.22991,0.54294,0.39063,0.39758,0.19284,2.03925,1.08242,1.28787,2.212e-05,2.212e-05,2.212e-05
